Graph,Type,AUPR,Algorithm,Size
Sigmoid Mix,Mean,0.178925371028063,SAM-mse,100
Sigmoid Mix,Std Dev,0.020410417643461,SAM-mse,100
NN,Mean,0.190938484784085,SAM-mse,100
NN,Std Dev,0.01489838632958,SAM-mse,100
Syntren,Mean,0.169147657229363,SAM-mse,100
Syntren,Std Dev,0.022093765974555,SAM-mse,100
Linear,Mean,0.512345866039157,SAM-lin,100
Linear,Std Dev,0.088969495730574,SAM-lin,100
GP AM,Mean,0.293363159322656,SAM-lin,100
GP AM,Std Dev,0.036231959387139,SAM-lin,100
GP Mix,Mean,0.176060594784806,SAM-lin,100
GP Mix,Std Dev,0.013261444597431,SAM-lin,100
Sigmoid AM,Mean,0.514905723756129,SAM-lin,100
Sigmoid AM,Std Dev,0.041534318654629,SAM-lin,100
Sigmoid Mix,Mean,0.499390876724733,SAM-lin,100
Sigmoid Mix,Std Dev,0.040788056269083,SAM-lin,100
NN,Mean,0.436201058291513,SAM-lin,100
NN,Std Dev,0.066675956175406,SAM-lin,100
Syntren,Mean,0.130552415211606,SAM-lin,100
Syntren,Std Dev,0.026810926743852,SAM-lin,100
Linear,Mean,0.45,SAM,100
Linear,Std Dev,0.11,SAM,100
GP AM,Mean,0.61,SAM,100
GP AM,Std Dev,0.03,SAM,100
GP Mix,Mean,0.51,SAM,100
GP Mix,Std Dev,0.04,SAM,100
Sigmoid AM,Mean,0.59,SAM,100
Sigmoid AM,Std Dev,0.04,SAM,100
Sigmoid Mix,Mean,0.59,SAM,100
Sigmoid Mix,Std Dev,0.03,SAM,100
NN,Mean,0.58,SAM,100
NN,Std Dev,0.05,SAM,100
Syntren,Mean,0.34,SAM,100
Syntren,Std Dev,0.061937812438109,SAM,100
